Name,Kinships,Affiliation,Knowledgebase,Openness,Scope,Sides,InteriorParticleCount,ParticlesPerEdge,BorderParticleCount,TotalParticleCount,Color,Language,Cultural Practices,Free Text
Urban Ecologist,"Indigenous Land Defenders, Japanese, Makers, Urban Foragers, Zen Gardening, Eco-conscious Consumers",,1,1,global,6,168,10,60,228,#00ABFF,3,"Belonging is cultivated through hands-on, participatory practices like citizen science bio-blitzes, community planting days, and maintaining little free libraries for seed and tool sharing. Key symbols include the Miyawaki mini-forest, the cross-sectional diagram of a soil cell, and the ""sponge city"" as an emblem of urban hydrology. Shared stories often revolve around the revitalization of a specific neglected lot into a community hub or the return of a native species like the peregrine falcon, narrating a collective victory. Practitioners feel part of the bigger picture by seeing their hyper-local actions—a planted tree, a monitored beehive—contribute to tangible, city-wide metrics of resilience: reduced urban heat, increased pollinator counts, and a rewilded skyline, connecting their labor to a measurable, shared metabolism.","What truly defines us, beyond any single practice or symbol, is a profound sense of becoming—a quiet rewilding of the urban soul. We are not just installing green infrastructure; we are learning a new language spoken by native plants, rainfall, and soil microbes. Our shared meaningful commonality is the deeply held belief that a city's highest achievement is not its GDP, but its ecological intelligence—its capacity to shelter both human and non-human life in a mutually beneficial partnership. We are about healing the false dichotomy between the metropolis and the natural world, finding awe not in pristine wilderness but in the resilient crack of a sidewalk where life erupts, and in the engineered grace of a bridge that doubles as a bat roost. This culture is unique in its optimistic, forward-looking melancholy; we grieve the losses of the Anthropocene while actively, joyfully building the ark of the next one, block by block. We are about the practical magic of making a home for the future, right here, in the neglected soils of the present."
Western North Carolinian,"Celtic, Japanese, Chinese, Ghanaian",,6,6,regional,4,67,6,24,91,#E03748,2,"People belong to this culture not just by virtue of living in the region, but by participating in its practices, interacting with its “members,” and sharing its values","Though typically grouped together as one, Appalachian culture is highly heterogeneous, with subcultures forming based largely on geography and local biodiversity"
White,"French, Italian, Harvard Alum, Immigrants",,1,7,regional,4,90,6,24,114,#FF98FF,1,Greed. Cruelty. Stupidity.,"""My"" culture is not unique, unfortunately. I am all about the destruction and dismantling of my culture and undoing the harm it has inflicted upon the world. It is most regrettable that as part my ""heritage""  I ""belong"" to ""my"" culture. Should it perish in my lifetime, I will consider my purpose fulfilled, myself finally free, and I will die a happy man.  "
French,"Italian, Catalan, Chinese",,3,1,national,3,67,9,27,94,#0060E6,4,"Shared narrative of the French nation, enshrined since the Napoleonic era.",
Parents,"Eco-conscious Consumers, International Students, Baking",,4,1,global,3,53,9,27,80,#00D083,2,"parenting stories are widely shared. symbols include a general look of tiredness and dishevelled appearance, easily distracted","This culture transcends territorial and generational boundaries, though subcultures exist within these and other boundaries. Membership can be intentional or accidental."
Japanese,"South Korean, Chinese, Zen Gardening, Japanese Tea Ceremony, Anime Fans, Manga Fans",,4,2,national,6,78,8,48,126,#B72CC0,5,"Belonging often comes through participation in festivals like Hanami, tea ceremonies, or community gatherings. Key symbols include the crane and koi fish, representing peace and perseverance.","Japanese culture is deeply rooted in respect and tradition. The way we interact with nature, through festivals and seasonal changes, teaches us the importance of transience and beauty in our everyday lives. Our values reflect a blend of ancient customs and modern innovation, with a great emphasis on craftsmanship that can be seen in everything from architecture to cuisine. We have a unique way of honoring our ancestors and celebrating life events through rituals and ceremonies. Family bonds and community play a significant role in shaping our identity, making us feel connected not only to each other but to our history as well."
Navajo,"Indigenous Land Defenders, Māori, Sámi, Chilean Mapuche, Indigenous Australian Art",Indigenous Land Defenders,5,3,local,5,78,8,40,118,#FF6C7B,5,"Belonging is fostered through participation in ceremonies, storytelling, and community events. Key symbols include the eagle and the four sacred mountains.","Navajo culture is rich in tradition and spirituality, emphasizing balance with nature and community. We believe in the interconnectedness of all living things, and our ceremonies often reflect this belief. Our language and stories are vital for passing down knowledge through generations. Each gathering is an opportunity to teach the youth about our history and values. Our arts and crafts not only showcase our heritage but also carry our stories, making them a form of communication. Through our connections to the land and our ancestors, we celebrate our identity and strive to maintain our way of life while engaging with modern society."
Italian,"French, Slow Food, Sustainable Fashion, Italian Folk Musicians, Culinary Explorers",,3,2,national,5,67,8,40,107,#008E00,4,"Belonging is nurtured through family meals, holiday traditions, and local festivals. Key symbols include the olive tree and the Colosseum.","Italian culture is synonymous with warmth and connection. Family is at the heart of our lives, where every meal is an occasion to gather, share, and celebrate. Our cuisine is not just food; it’s an expression of our heritage, craftsmanship, and love. Each region boasts unique flavors and traditions, painting a rich tapestry of our diversity. Our festivals, steeped in history, are times for joyful gatherings, showcasing our art, music, and dance. We find joy in the simple pleasures of life, from a sunny afternoon in a vineyard to a bustling market. This culture thrives on relationships, passion, and a profound appreciation for life."
Zulu,"Rastafari, Samba Dancers, Māori, Indigenous Land Defenders",,4,3,local,4,76,8,32,108,#FF3500,5,"Belonging is fostered through community gatherings, rituals, and the oral sharing of history. Key symbols include the lion and the shield.","Zulu culture is vibrant and rich with history, rooted in strong community values. We place immense importance on respect and the teachings of our ancestors, which guide our actions and interactions with nature and others. Our oral traditions are a treasure, where stories of bravery and wisdom are passed down through generations. We celebrate our culture through music, dance, and art, which are not merely forms of expression but also a means of preserving our identity. We find strength and unity in our gatherings, where laughter and shared stories weave our bonds tighter, reminding us of who we are and where we come from."
Sámi,"Māori, Navajo, Eco-conscious Consumers, Indigenous Australian Art",Indigenous Land Defenders,5,4,local,4,70,7,28,98,#F50041,5,"Belonging is created through seasonal rituals, traditional crafts, and community gatherings. Key symbols include the reindeer and traditional drums.","Sami culture, deeply entwined with the Arctic landscape, embraces the natural world as a source of identity and sustenance. Our connection to reindeer herding shapes our way of life, traditions, and communal values. We emphasize sustainability, ensuring that our practices respect the environment and preserve it for future generations. Our music, particularly yoik, carries stories and emotions that resonate with the beauty of nature and our ancestry. Gathering together for seasonal celebrations reinforces our bonds, allowing us to share knowledge and preserve our heritage. In a rapidly changing world, we strive to hold onto our traditions while adapting, ensuring the Sami identity thrives."
